Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192598342895508,24.659500349797334,23.75446219426633,24.648435649103693,212818400
2015-01-05,23.51105308532715,24.042126622078253,23.32517827599419,23.962465507153777,257142000
2015-01-06,23.513277053833008,23.77217495093279,23.152588594975892,23.5752353517813,263188400
2015-01-07,23.842981338500977,23.942556919376344,23.610636065476097,23.721276350109513,160423600
2015-01-08,24.759082794189453,24.816616214984087,24.053197237023646,24.170477357014917,237458000
2015-01-09,24.7856388092041,25.060026262015647,24.387333080738237,24.931683117483658,214798000
2015-01-12,24.174898147583008,24.922825738800306,24.075322583368106,24.91618759295084,198603200
2015-01-13,24.38954734802246,24.96045168588844,24.09967031003242,24.657296664253337,268367600
2015-01-14,24.29660415649414,24.44928658228224,24.00893877695945,24.12843047207833,195826400
2015-01-15,23.637187957763672,24.35413645717828,23.60178394813456,24.34086016459694,240056000
2015-01-16,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,314053200
2015-01-20,24.057621002197266,24.11294113817059,23.566377924636292,23.862893043099756,199599600
2015-01-21,24.24128532409668,24.57541774452879,23.95804479734744,24.108515641336837,194303600
2015-01-22,24.871929168701172,24.887418736564726,24.27889734612524,24.39838902174535,215185600
2015-01-23,25.000276565551758,25.17066184134601,24.67941876430255,24.849805728333372,185859200
2015-01-26,25.026830673217773,25.30564464790185,24.960447519022203,25.168450094718995,222460000
2015-01-27,24.150558471679688,24.889636367580913,24.12621747674591,24.876358386921034,382274800
2015-01-28,25.515859603881836,26.13765909552136,25.515859603881836,26.02923041081558,585908400
2015-01-29,26.310253143310547,26.3744246942054,25.571175357345947,25.739349018717416,337745600
2015-01-30,25.92522621154785,26.553662070188867,25.856628103199135,26.19961358023362,334982000
2015-02-02,26.25050926208496,26.370000953586086,25.686244910716674,26.12216783483101,250956400
2015-02-03,26.25493812561035,26.35230042157659,26.0248061463723,26.221745704792397,207662800
2015-02-04,26.456300735473633,26.66651826072673,26.179700061379986,26.22174390407791,280598800
2015-02-05,26.645137786865234,26.709562617574388,26.491851062250362,26.662908809726655,168984800
2015-02-06,26.42075538635254,26.713998377671132,26.314120800918854,26.662902250403082,174826400
2015-02-09,26.596261978149414,26.622919358205184,26.30968327825307,26.336342353208384,155559200
2015-02-10,27.107219696044922,27.136100789446896,26.694014977515135,26.696235296315404,248034000
2015-02-11,27.74257469177246,27.751461049965634,27.213849091024947,27.27382989020448,294247200
2015-02-12,28.09358024597168,28.320178159043575,27.89586342284208,28.004718352510146,297898000
2015-02-13,28.23131561279297,28.27574571104656,27.913635495070917,28.27574571104656,217088800
2015-02-17,28.39792823791504,28.631190468113697,28.195767412422946,28.32239504441379,252609600
2015-02-18,28.595645904541016,28.608974594134033,28.313509545559175,28.353497309237724,179566800
2015-02-19,28.535667419433594,28.664517086594802,28.509010036503504,28.542331765166118,149449600
2015-02-20,28.7689266204834,28.7689266204834,28.446804181843213,28.57343012705251,195793600
2015-02-23,29.54646873474121,29.54646873474121,28.804475521420645,28.88445106110666,283896400
2015-02-24,29.362071990966797,29.679753737991085,29.13991815577165,29.533131393210645,276912400
2015-02-25,28.6112003326416,29.235455661833292,28.469021967049812,29.22656760722152,298846800
2015-02-26,28.97330665588379,29.073275217137283,28.126900972912463,28.611194771331103,365150000
2015-02-27,28.537887573242188,29.00663237357377,28.4890134507584,28.88000304082967,248059200
2015-03-02,28.677839279174805,28.94220289932046,28.502339231657224,28.713384708226034,192386800
2015-03-03,28.737821578979492,28.773367007798193,28.455685246153877,28.6489613967314,151265200
2015-03-04,28.555652618408203,28.782250480513657,28.506781893050682,28.680061614131755,126665200
2015-03-05,28.082473754882812,28.602313038496664,27.93807338891241,28.564547284367382,226068400
2015-03-06,28.124677658081055,28.740043089670174,28.049146161056143,28.524553579488252,291368400
2015-03-09,28.244640350341797,28.784475968478535,27.782559935616113,28.426806439526047,354114000
2015-03-10,27.66037368774414,28.262410360171007,27.502644672745152,28.082466301280466,275426400
2015-03-11,27.156091690063477,27.718140774053996,27.127212293835008,27.71369844190335,275756000
2015-03-12,27.647050857543945,27.747021124712568,27.020576957239324,27.17164166982553,193450800
2015-03-13,27.45599365234375,27.858093275490027,27.231619482991277,27.635939424321684,207309200
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.520420732700014,143497200
2015-03-17,28.22243309020996,28.284635914179564,27.9136392891467,27.969177766962392,204092400
2015-03-18,28.540111541748047,28.693398273706446,28.073588695017833,28.213545040566977,261083600
2015-03-19,28.32461929321289,28.713388577629537,28.302404244511855,28.602311639224784,183238000
2015-03-20,27.96918296813965,28.524566154676346,27.804789517806384,28.491244417710256,274780400
2015-03-23,28.260196685791016,28.40237504252727,28.10690995638173,28.240203648859215,150838800
2015-03-24,28.14467430114746,28.44457999143216,28.115793213344112,28.26463759420105,131369200
2015-03-25,27.409347534179688,28.173557491497697,27.409347534179688,28.111354670767113,206620800
2015-03-26,27.600399017333984,27.74257737236355,27.236066770708273,27.271612206915506,190291600
2015-03-27,27.380464553833008,27.702586988271232,27.304933051374206,27.673707595254548,158184800
2015-03-30,28.073591232299805,28.080255578656885,27.5470858363919,27.558194210253628,188398800
2015-03-31,27.642602920532227,28.10023929752984,27.627052219223547,28.011377420809122,168362400
2015-04-01,27.60261344909668,27.795887891861717,27.347136204954168,27.729241064729163,162485600
2015-04-02,27.84031867980957,27.893635125916244,27.589285455112197,27.77589386393518,128880400
2015-04-06,28.29129409790039,28.32683952951182,27.62039017777961,27.651491582989873,148776000
2015-04-07,27.993610382080078,28.462353501011048,27.986946036985735,28.35572058970243,140049200
2015-04-08,27.90252685546875,28.08025063657794,27.762570521902486,27.958065325202924,149316800
2015-04-09,28.115795135498047,28.12023916234062,27.693704110033863,27.958066080579393,129936000
2015-04-10,28.235763549804688,28.260200617165104,27.827001141048527,27.980286196882115,160752000
2015-04-13,28.18021583557129,28.56232242775019,28.126899385571637,28.517888945434937,145460400
2015-04-14,28.05803108215332,28.277962912412484,27.97139121887246,28.213538094478118,102098400
2015-04-15,28.1646671295166,28.242420644379937,27.99360939681727,28.082471283046583,115881600
2015-04-16,28.029151916503906,28.23575507267787,28.015823227363466,28.053588976527664,113476000
2015-04-17,27.713693618774414,28.022487343944757,27.64926879695406,27.891417382065,207828000
2015-04-20,28.346834182739258,28.46235345227572,27.80700019732746,27.8958620865322,188217200
2015-04-21,28.193552017211914,28.480129054206348,28.14023386134807,28.457915698279347,129740400
2015-04-22,28.57343101501465,28.6289694851199,28.062478106986084,28.211320800092256,150618000
2015-04-23,28.80669403076172,28.9733094454926,28.466798855894666,28.502344291255753,183083600
2015-04-24,28.942201614379883,29.01995681325253,28.70893940756047,28.988855411663177,178103600
2015-04-27,29.468700408935547,29.575336674295194,29.135469706732138,29.393168929987628,387816800
2015-04-28,29.004404067993164,29.888575379490185,28.784473941475714,29.870806055766316,475696000
2015-04-29,28.577871322631836,29.233224506626065,28.502339826670195,28.91554612607042,253544400
2015-04-30,27.802555084228516,28.577871557806247,27.675927455621842,28.577871557806247,332781600
2015-05-01,28.64674186706543,28.90888520558984,27.835881568938238,28.013603654255334,234050400
2015-05-04,28.591203689575195,29.00663375040625,28.49345543996789,28.768927471606737,203953200
2015-05-05,27.946962356567383,28.53566885794729,27.942518329255186,28.469022007462865,197085600
2015-05-06,27.771461486816406,28.158008825709807,27.40490718679169,28.115799039342757,288564000
2015-05-07,27.943227767944336,28.126154782564676,27.666605100388406,27.833916456516,175763600
2015-05-08,28.469703674316406,28.469703674316406,28.132849635444217,28.26000621009435,222201600
2015-05-11,28.17969512939453,28.456316106647098,28.025768130626794,28.41839260613247,168143200
2015-05-12,28.07930564880371,28.304617032312276,27.845069087437746,28.01907261211921,192640000
2015-05-13,28.11054039001465,28.373777003589282,28.079309071622678,28.141771708406623,138776800
2015-05-14,28.76640510559082,28.76640510559082,28.367090074774246,28.422860539656728,180814000
2015-05-15,28.726245880126953,28.886865057060014,28.60132061005864,28.79317110450878,152832000
2015-05-18,29.04302406311035,29.161257160981794,28.634783904740452,28.63924649445973,203531600
2015-05-19,29.01625633239746,29.196952076729875,28.92032937190029,29.154565982832896,178532800
2015-05-20,29.014020919799805,29.21925578540813,28.853401737330955,29.000636555253806,145819600
2015-05-21,29.31072235107422,29.36426321724016,28.962715230892304,29.016256097058246,158921600
2015-05-22,29.567264556884766,29.66319151483739,29.31295140420748,29.35757049383677,182384000
2015-05-26,28.91586685180664,29.649808007569362,28.804325932422774,29.58065318218476,282790400
2015-05-27,29.455720901489258,29.504799172350534,29.011790275005385,29.076482502617996,183332800
2015-05-28,29.397722244262695,29.435645745544992,29.246028239133516,29.41556919850586,122933200
2015-05-29,29.063098907470703,29.32410422543376,28.978326727566014,29.275025953274035,203538000
2015-06-01,29.121105194091797,29.310726141151616,29.01179725864526,29.063105134547904,128451200
2015-06-02,28.991716384887695,29.147872986498268,28.848944148563945,28.96940684010392,134670400
2015-06-03,29.027406692504883,29.210335427396807,28.978328417483077,29.147872787179708,123934000
2015-06-04,28.857860565185547,29.130020622006,28.757474440217543,28.906938831429102,153800400
2015-06-05,28.69947052001953,28.931477484587052,28.634778299566968,28.889091400447338,142507200
2015-06-08,28.509855270385742,28.824401431399306,28.293465647897676,28.75524321274129,210699200
2015-06-09,28.425079345703125,28.572314134068442,28.02353317212102,28.264460195478733,224301600
2015-06-10,28.75078582763672,28.853401557823254,28.521010125158224,28.536625784357813,156349200
2015-06-11,28.686092376708984,29.040791677792328,28.66155323867411,28.81770984255118,141563600
