Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-01-02,26.26045799255371,26.570396349230737,26.17764066273826,26.411706170235586,26480000
2015-01-05,25.76009178161621,26.183095962111732,25.67529382896273,26.141440429219443,41182000
2015-01-06,25.12434959411621,25.846876415134567,25.07029576570784,25.811667839004635,54456000
2015-01-07,25.050458908081055,25.364859835605216,24.976074833139705,25.33808262798601,46918000
2015-01-08,25.137739181518555,25.16699642626597,24.54811092499961,24.86995196750364,73054000
2015-01-09,24.83077621459961,25.2215475482558,24.728126144995183,25.200719778572132,42000000
2015-01-12,24.649274826049805,24.808954375529883,24.34429464256883,24.75738058619834,57138000
2015-01-13,24.88433074951172,25.22154383043746,24.659192240158898,24.922514988303167,60958000
2015-01-14,25.08913803100586,25.204683901204348,24.70382433468335,24.815897018606716,52800000
2015-01-15,24.99392318725586,25.27856930708844,24.894742543827252,25.23592251951945,51068000
2015-01-16,25.313779830932617,25.33311881737609,24.94829890362507,24.951274568857933,49658000
2015-01-20,25.287994384765625,25.569171129443106,25.259728399950568,25.428334942620978,46796000
2015-01-21,25.80621337890625,25.87861493705752,25.270638965153605,25.33262663942792,46356000
2015-01-22,26.644779205322266,26.721147679984977,25.881588195922973,25.935640126231064,56068000
2015-01-23,26.87537384033203,27.04695604247036,26.567915529254652,26.6809813562442,45966000
2015-01-26,26.61602020263672,26.853061388067903,26.385425977502006,26.853061388067903,30932000
2015-01-27,25.845882415771484,26.42063228188283,25.829517201942046,26.352197652881124,39148000
2015-01-28,25.41147232055664,26.06903760177489,25.407505397386487,26.034820288326287,35822000
2015-01-29,25.451147079467773,25.548343324793095,24.96764210595776,25.434781865020337,79018000
2015-01-30,26.657182693481445,26.93240814666787,25.696621458751704,25.7372857404322,121108000
2015-02-02,26.39187240600586,26.60511015362786,25.872167586263934,26.49700250116337,75378000
2015-02-03,26.446422576904297,26.652220220255426,26.12458153912829,26.27979854116529,47062000
2015-02-04,26.089370727539062,26.617504992397134,26.03630816237833,26.438484572025626,33896000
2015-02-05,26.274343490600586,26.316990282581052,26.066559557654234,26.180121018325785,33176000
2015-02-06,26.47518539428711,26.789586336296473,26.21582954045871,26.332862306470247,42938000
2015-02-09,26.247068405151367,26.4751825813196,26.161277301678282,26.33533765344044,30314000
2015-02-10,26.786609649658203,26.82826518596834,26.24161449122016,26.38939327600725,47430000
2015-02-11,26.67949104309082,26.875372294473127,26.580310399240943,26.76528213922532,38306000
