Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2015-01-02,77.83915710449219,78.31542298294325,77.09499687378008,77.9681497226088,18177500
2015-01-05,76.5889663696289,78.63292386083921,76.26153408123444,77.37281598276019,26452200
2015-01-06,75.55706787109375,76.98585032106149,74.77321821125572,76.62866038606137,27399300
2015-01-07,75.55706787109375,76.7576454300895,75.2296355631888,76.16231877843718,22045300
2015-01-08,77.57125854492188,77.62087225227413,75.48761152593863,76.14246855705272,23961000
2015-01-09,77.13468933105469,78.00784221387961,76.59889303568202,77.59110671526334,21157000
2015-01-12,76.12262725830078,77.39265943266423,75.61659621164416,77.23390162587435,19190200
2015-01-13,75.85472106933594,77.47203396224693,75.25939446746183,76.62865397875957,25179600
2015-01-14,75.68605041503906,76.59888508875221,75.43799702087861,75.82495971016981,25918600
2015-01-15,73.47342681884766,75.97380198842959,72.96739571703131,75.8051274778207,34134000
2015-01-16,74.59461975097656,74.73352905123996,73.26504957275517,73.4634968374094,21791500
2015-01-20,75.64635467529297,75.71580931708476,74.23741333038049,75.13040698912368,22821600
2015-01-21,76.14246368408203,76.69810840490923,75.25939425364678,75.56698559356548,25096700
2015-01-22,77.0453872680664,77.14460711370039,76.08293886844001,76.56912141103876,19519500
2015-01-23,77.22398376464844,77.58118125449818,76.44013413803313,77.04538501972358,16746500
2015-01-26,76.89655303955078,77.8590014307279,76.68818909455196,77.37281889239732,19260800
2015-01-27,75.18994140625,76.28137479432661,75.04110786015123,76.11270030807603,20110000
2015-01-28,75.64635467529297,77.03545508111702,75.40822555629086,76.30121921503405,53306400
2015-01-29,77.39265441894531,77.41249535851425,73.63216427660052,76.25160735902729,61293500
2015-01-30,75.31893920898438,77.55141984453472,75.16018139686156,77.3926620324119,42649500
2015-02-02,74.40609741210938,75.54714459168213,73.17575464012992,75.51737939421322,41955300
2015-02-03,74.81291961669922,74.99151839772809,73.28490950567227,74.60455563383059,26957700
2015-02-04,75.0411148071289,75.75550983854767,74.4259471956211,74.50531853356483,20277400
2015-02-05,75.02128601074219,75.38840784187586,74.6243989768121,75.12050587672708,15062600
2015-02-06,73.89014434814453,75.1105627765814,73.67185615574414,75.09072183635801,21211000
2015-02-09,73.86038208007812,74.24734477467375,72.87808517534562,73.47341938548252,16194300
2015-02-10,74.60454559326172,74.75337158243096,73.91991576312613,74.26718902116981,15811300
2015-02-11,75.91427612304688,76.15240530342123,74.44579644242627,74.50532684502232,20877400
2015-02-12,75.6364517211914,76.2714678671317,75.29909513554148,76.26154361079182,17235000
2015-02-13,75.15026092529297,75.88450448835005,74.9121317651069,75.86465597584065,18621900
2015-02-17,75.01136016845703,76.31116536636816,74.4954123342412,74.71370057679071,25254400
2015-02-18,76.11270141601562,76.30122441515088,74.86251020857155,75.34870030423735,22426400
2015-02-19,78.80162048339844,79.21834847478603,76.35085111453832,76.39054057609772,45851200
2015-02-20,79.27787017822266,79.71443902577717,78.583316098495,78.93059692335343,36931700
2015-02-23,78.22611999511719,79.56561446940853,77.76970262765077,79.33740200068064,24139100
2015-02-24,77.83915710449219,78.8611435134612,77.49188384415773,77.88877081453539,18897100
2015-02-25,78.94051361083984,79.57552972546785,77.88876959036018,77.88876959036018,25593800
2015-02-26,79.78390502929688,80.73642924637846,79.09927517296121,79.25802542414671,31111900
2015-02-27,78.35511016845703,80.5975150516782,78.00783691817676,80.05179453695986,30739200
2015-03-02,79.12904357910156,79.23818769308572,77.90861738181957,78.38488329465861,21662500
2015-03-03,78.98020935058594,79.07942920702088,77.90861673311313,78.99013360722638,18635000
2015-03-04,80.27008819580078,80.51814161570746,78.23604712457012,78.68254782239593,28126700
2015-03-05,80.57766723632812,81.35159264934963,80.41891699339537,80.59751574793796,27825700
2015-03-06,79.38700866699219,80.69673025698808,79.208409924266,80.27007812547487,24488600
2015-03-09,78.82146453857422,79.28780622301794,78.01776623496237,79.05959372446387,18925100
2015-03-10,76.94615936279297,78.64284352638025,76.94615936279297,77.88875915256762,23067100
2015-03-11,76.96601867675781,77.81932308953014,76.65843484308058,77.19423116528576,20215700
2015-03-12,78.3154296875,78.4344980598035,77.30337501788516,77.49189047821157,16093300
2015-03-13,77.44227600097656,78.76191436122573,77.07515423670291,77.98798894950376,18557300
2015-03-16,77.46212768554688,77.51174140137974,76.75765682666345,77.35298356670675,19305400
2015-03-17,78.74208068847656,79.15880863018214,77.73001846434607,77.74986697775482,22170000
2015-03-18,80.27999877929688,80.6074234846162,78.55354182039554,78.63292071804376,36912400
2015-03-19,82.10567474365234,82.35372814166942,80.36930095753281,80.48836931377703,42099500
2015-03-20,83.14751434326172,83.9412807923442,82.42319498310876,82.74070307673978,44466300
2015-03-23,83.77259826660156,84.2984702867288,82.65139957406593,83.26656718855922,27357300
2015-03-24,84.64573669433594,85.39982112232238,83.86188707063758,84.05041007013136,32576500
2015-03-25,82.27435302734375,84.85410697155581,82.27435302734375,84.83426602959565,37436100
2015-03-26,82.36365509033203,83.11773199456887,81.50042651181055,82.07591223082487,32794800
2015-03-27,82.65140533447266,83.2963381920367,82.2346698217519,82.73077667833338,18372600
2015-03-30,82.55216979980469,83.68329271612494,81.76832770497731,83.15742071099226,24527700
2015-03-31,81.57980346679688,82.84983566458874,81.56987921119222,82.25450901812243,19734300
2015-04-01,81.0340805053711,82.07590778264147,80.24031419077401,81.85761958588091,22058200
2015-04-02,80.92493438720703,81.91714793318059,80.8058736064829,81.60956415632513,19664100
2015-04-06,81.79808807373047,82.16520224508271,80.17085844560579,80.17085844560579,19062900
2015-04-07,81.67902374267578,82.77045719527203,81.57980389607413,82.00645604945137,17467000
2015-04-08,81.63933563232422,82.4529504998174,81.20275921611204,81.98660888613426,18966700
2015-04-09,81.53019714355469,82.15529661345485,81.07377975425645,81.85762947826528,15927300
2015-04-10,81.40120697021484,81.96676843551907,81.27222192373817,81.56988147022032,12529700
2015-04-13,82.36365509033203,83.2864140639277,81.28213830321965,81.29206255906175,26883100
2015-04-14,82.86967468261719,83.03835674402566,81.79808977184217,82.52240144440358,19634200
2015-04-15,82.06597900390625,83.00858638614459,81.62940263444898,82.89944229378027,22390900
2015-04-16,81.66909790039062,82.42318234589347,81.51034766290992,81.82785570786024,13769700
2015-04-17,80.15100860595703,81.47065443187556,79.74420499066709,80.84556262643504,24215000
2015-04-20,82.44303131103516,82.50256927962556,80.60743751094516,80.90510464392825,28796800
2015-04-21,82.96891021728516,83.83213126962309,82.88953130649857,83.34594868853705,27171900
2015-04-22,83.97103881835938,84.08018292590573,82.99867367656935,83.66345500799572,45548000
2015-04-23,81.7683334350586,84.92356568696394,81.7683334350586,83.44516941553834,73728100
2015-04-24,80.8951644897461,82.29418914184073,80.84555835732408,82.12550709563905,29660400
2015-04-27,81.27223205566406,82.28428675185545,80.99440584632686,81.23254259718732,25446000
2015-04-28,80.05180358886719,81.26230554385589,79.60531044087494,81.19285088594621,23775300
2015-04-29,79.84342956542969,80.75626426020052,78.90082210388216,79.38701221804426,26430300
2015-04-30,78.15666961669922,80.3296200364936,77.71017648084629,79.38702005191975,28999000
2015-05-01,78.37495422363281,79.1389629745915,77.50180893538372,78.6230076365434,24136400
2015-05-04,78.19635009765625,79.06950289597847,78.0177513498166,78.71230540029919,14692000
2015-05-05,76.95608520507812,78.18643553244382,76.61873621111563,77.93838212982818,22311300
2015-05-06,77.49188995361328,78.19636078582913,76.45007009047289,77.36290489531683,28663000
2015-05-07,77.8193130493164,78.32534410555395,76.95608449102754,77.39266089797673,19749400
2015-05-08,77.89869689941406,78.61309194886826,77.42243100978143,78.48409932772321,19943600
2015-05-11,77.402587890625,78.4146424688984,77.32320898292022,77.86892951090395,18874100
2015-05-12,76.85686492919922,77.28351708211713,76.1920836306959,77.26367614081379,21285300
